Gobierno,Año,Nombre,Sexo,MInisterio,Partido,Signo Político,Profesión,Edad al asumir,Estado civil ,Maternidad
Michelle Bachelet,2015,Patricia Silva,F,Secretaria General de la Presidencia,PS,Izquierda,Abogada,51,X,X
Michelle Bachelet,2015,Adriana Delpiano,F,Educacion ,PPD,Izquierda,Asistente Social,68,Casada,Si
Michelle Bachelet,2016,Claudia Pascual,F,Mujer y la Igualdad de Género,PC,Izquierda,Antropologa,44,x,x
Michelle Bachelet,2016,Nivia Palma,F,Bienes Nacionales,PS,Izquierda,Economista,57,Casada,x
Michelle Bachelet,2016,Alejandra Krauss,F,Trabajo y Bienestar Social,DC,Centro-Izquierda,Abogada,60,X,X
Michelle Bachelet,2016,Paula Narváez ,F,Secretaria General de gobierno,PS,Izquierda,Psicologa,44,X,X
Michelle Bachelet,2016,Paola Tapia,F,Transportes y Telecomunicaciones ,Independiente,,Abogada,41,x,x
Sebastian Piñera,2018,Isabel Plá,F,Mujer,UDI,Derecha,Relaciones Publicas,54,Casada,x
Sebastian Piñera,2018,Gloria Hutt,F,Transportes y Telecomunicaciones ,Evopoli,Derecha,Politico,63,Casada,Si
Sebastian Piñera,2018,Marcela Cubillos,F,Medio Ambiente ,UDI,Derecha,Abogada,51,Casada,Si
Sebastian Piñera,2018,Susana Jiménez,F,Energia,Independiente,,Abogada,49,x,x
Sebastian Piñera,2018,Alejandra Pérez,F,"Culturas, Artes y Patrimonio",Independiente,,Periodista,55,Casada,Si
Sebastian Piñera,2018,Cecilia Pérez,F,Secretaria General de Gobierno,RN,Derecha,Abogada,44,Casada,Si
Sebastian Piñera,2018,Carolina Schmidt,F,Medio Ambiente ,Independiente,,Ingeniera Comercial,51,x,x
Sebastian Piñera,2018,Consuelo Valdés,F,"Culturas, Artes y Patrimonio",Independiente,,Arqueologa,70,x,x
Sebastian Piñera,2018,Pauline Kantor,F,Deporte,Evopoli,Centro-Derecha,Periodista,54,Casada,Si
Sebastian Piñera,2019,Karla Rubilar,F,Secretaria General de Gobierno,RN,Derecha,Física,42,Casada,Si
Sebastian Piñera,2019,María José Zaldívar,F,Trabajo,Independiente,,Abogada,44,x,x
Sebastian Piñera,2019,Cecilia Pérez,F,Deporte,RN,Derecha,Abogada,45,Casada,Si
Sebastian Piñera,2020,Carolina Cuevas Merino,F,Mujer y la Igualdad de Género,RN,Derecha,Ingeniera Comercial,54,X,X
Sebastian Piñera,2020,Macarena Santelices,F,Mujer y la Igualdad de Género,UDI,Derecha,Periodista,47,Casada,Si
Sebastian Piñera,2020,Monica Zalaquett,F,Mujer y la Igualdad de Género,UDI,Derecha,Periodista,58,x,x
Sebastian Piñera,2020,Karla Rubilar,F,Desarrollo Social y Familia,RN,Derecha,Medica,43,Casada,Si
Sebastian Piñera,2021,María Emilia Undurraga,F,Agricultura,Evopoli,Derecha,Sociologa ,46,Casada,Si
Sebastian Piñera,2022,Carolina Valdivia,F,Asuntos Exteriores,Independiente,,Abogada,44,x,Si
Gabriel Boric,2022,Izkia Siches,F,Interior,Independiente,,Medica,36,Casada,Si
Gabriel Boric,2022,Antonia Orellana,F,Mujer,CS,Izquierda,Periodista,33,X,X
Gabriel Boric,2022,Camila Vallejo,F,Secretaria General de Gobierno,PC,Izquierda,Sociologa,34,Casada,Si
Gabriel Boric,2022,Maya Fernández,F,Defensa,PS,Izquierda,Biologa,51,x,x
Gabriel Boric,2022,Alexandra Benado,F,Deportes,Independiente,,Futbolista,46,x,x
Gabriel Boric,2022,María Begoña Yarza,F,Salud,Independiente,,Medico,58,X,X
Gabriel Boric,2022,Marcela Ríos,F,Justicia y Derechos Humanos,CS,Izquierda,Sociologa,56,x,x
Gabriel Boric,2022,Antonia Urrejola ,F,Asuntos Exteriores,Independiente,,Abogada,54,x,x
Gabriel Boric,2022,Jeanette Jara,F,Desarrollo Social y Familia,PC,Izquierda,"Abogada, administradora publica",48,Soltera,Si
Gabriel Boric,2022,Javiera Toro,F,Bienes Nacionales,Comunes,Izquierda,Abogada,35,x,x
Gabriel Boric,2022,Julieta Brodsky,F,Cultura,CS,Izquierda,Antropologa,39,x,x
Gabriel Boric,2022,Marcela Hernando,F,Mineria,PR,Derecha,Medico,62,x,x
Gabriel Boric,2022,Maisa Rojas,F,Medio Ambiente ,FA,IZquierda,Científica,50,x,x
Gabriel Boric,2022,Ximena Aguilera,F,Salud,Independiente,IZquierda,Medico,58,x,x
Gabriel Boric,2022,Carolina Tohá,F,Interior,PPD,IZquierda,Abogada,57,Casada,x
Gabriel Boric,2022,Ana Lya Uriarte,F,Secretaria General de la Presidencia ,PS,Izquierda,Abogada,60,x,Si
Gabriel Boric,2022,Silvia Díaz,F,Ciencia,Independiente,Izquierda,Científica,35,,
Gabriel Boric,2023,Aisén Etcheverry,F,Ciencia ,RD,Izquierda,Abogada,43,x,x
Gabriel Boric,2023,Paula Poblete,F,Desarrollo Social y Familia,RD,Izquierda,Economista,44,x,x
Gabriel Boric,2023,Marcela Sandoval,F,Bienes Nacionales,RD,Izquierda,Periodista,49,x,x
Gabriel Boric,2023,Aurora Williams,F,Minería,PR,Izquierda,Ingeniera comercial,61,x,x
Gabriel Boric,2023,Carolina Arredondo,F,Cultura,Independiente,Izquierda,Actriz,36,x,Si
Gabriel Boric,2023,Javiera Toro,F,Desarrollo social,FA,Izquierda,Abogada,35,x,x
Gabriel Boric,2023,Jessica Lopez,F,Obras Publicas,PS,Izquierda,Ingeniera comercial,66,x,x
Gabriel Boric,2025,Macarena Lobos,F,Secretaria general de la presidencia,Independiente,Izquierda,Abogada,53,x,x
Gabriel Boric,2015,Adriana Delpiano,F,Defensa Nacional,PPD,Izquierda,Asistente social,78,Casada,Si
Gabriel Boric,2025,Ignacia Fernandez,F,Agricultura,Independiente,Izquierda,Sociologa,52,x,x
Jose Antonio Kast,2026,Mara Sedini,F,Secretaria general de gobierno,PR,Derecha,Actriz,41,x,x
Jose Antonio Kast,2026,Trinidad Steinert,F,Seguridad,Independiente,Derecha,Abogada,55,x,x
Jose Antonio Kast,2026,María Paz Arzola,F,Educacion ,Independiente,Derecha,Economista,39,x,x
Jose Antonio Kast,2026,May Chomalí,F,Salud,Independiente,Derecha,Medico,67,x,x
Jose Antonio Kast,2026,Judith Marín Morales,F,Mujer,PSC,Derecha,Profesora,30,x,x
Jose Antonio Kast,2026,Natalia Ducó ,F,Deporte,Independiente,Derecha,Deportista,37,x,x
Jose Antonio Kast,2026,Ximena Rincón ,F,Energia,Democratas,Derecha,Abogada,58,Casada,Si
Jose Antonio Kast,2026,Catalina Parot,F,Bienes Nacionales,Evopoli,Derecha,Enfermera,70,Casada,Si
Jose Antonio Kast,2026,Ximena Lincolao,F,Ciencia ,Independiente,Derecha,Profesora,58,x,x
Jose Antonio Kast,2026,María Jesús Wulf.,F,Desarrollo social,PR,Derecha,Sociologa,36,x,x
