Gobierno,Año,Nombre,Sexo,MInisterio,Partido,Signo Político,Profesión,Edad al asumir,Estado civil ,Maternidad
Gabriel Boric,2022,Izkia Siches,F,Interior,Independiente,Derecha,,,,
Gabriel Boric,2022,Antonia Orellana,F,Mujer,CS,Izquierda,,,,
Gabriel Boric,2022,Camila Vallejo,F,SEGEGOB,PC,Izquierda,,,,
Gabriel Boric,2022,Maya Fernández,F,Defensa,PS,Izquierda,,,,
Gabriel Boric,2022,Jeanette Jara,F,Trabajo,PC,Izquierda,,,,
Gabriel Boric,2022,Julieta Brodsky,F,Cultura,CS,Izquierda,,,,
Gabriel Boric,2022,Marcela Hernando,F,Mineria,PR,Derecha,,,,
Gabriel Boric,2022,Silvia Díaz,F,Ciencia,Independiente,,,,,
Gabriel Boric,2022,Maisa Rojas,F,Medio Ambiente ,Independiente,,,,,
Gabriel Boric,2023,Jessica López,F,Obras Publicas,Independiente,,,,,
Gabriel Boric,2022,Carolina Tohá,F,Interior,PPD,Derecha,,,,
Jose Antonio Kast,2026,Mara Sedini,F,SEGEGOB,PR,Derecha,,,,
Jose Antonio Kast,2026,Trinidad Steinert,F,Seguridad,Independiente,,,,,
Jose Antonio Kast,2026,María Paz Arzola,F,Educacion ,Independiente,,,,,
Jose Antonio Kast,2026,May Chomalí,F,Salud,Independiente,,,,,
Jose Antonio Kast,2026,Judith Marín Morales,F,Mujer,PSC,Derecha,,,,
Jose Antonio Kast,2026,Natalia Ducó Soler,F,Deporte,Independiente,,,,,
Jose Antonio Kast,2026,Ximena Rincón González.,F,Energia,Democratas,Derecha,,,,
Jose Antonio Kast,2026,Catalina Parot,F,Bienes Nacionales,Evopoli,Derecha,,,,
Jose Antonio Kast,2026,Ximena Lincolao,F,Ciencia ,Independiente,,,,,
Jose Antonio Kast,2026,María Jesús Wulf.,F,Desarrollo social,PR,Derecha,,,,
