Nombre,Cámara /Senado,Año en el que asume,Partido,Signo Político,Profesión
Carolina Goic,Cámara,2006,PDC,Centro,Trabajadora Social
Amelia Herrera,Cámara,2006,RN,Derecha,Abogada
Marta Isasi,Cámara,2006,PAR,Centro,Ingeriera
Adriana Muñoz,Cámara,2006,PPD,Centro-Izquierda,Socióloga 
Claudia Nogueira,Cámara,2006,UDI,Derecha,Abogada
Clemira Pacheco,Cámara,2006,PS,Izquierda,Profesora
Denise Pascal,Cámara,2006,PS,Izquierda,Polítologa
Lily Pérez,Cámara,2006,RN,Derecha,Publicista
Karla Rubilar,Cámara,2006,RN,Derecha,Médico
María Antonieta Saa,Cámara,2006,PPD,Centro-Izq,Profesora
Alejandra Sepulveda,Cámara,2006,PPD,Centro-Izq,Veterinaria
Laura Soto,Cámara,2006,PPD,Centro-Izq,Política
Carolina Tohá,Cámara,2006,PPD,Centro-Izq,Politologa
Marisol Turres,Cámara,2006,UDI,Derecha,Abogada
Ximena Valcarce,Cámara,2006,RN,Derecha,Periodista
Ximena Vidal,Cámara,2006,PPD,Centro-Izq,Actriz
Evelyn Matthei,Senado,2006,UDI,Derecha,Economista 
Soledad Alvear,Senado,2006,DC,Centro,Abogada
María Angélica Cristi,Cámara,2010,UDI,Derecha,Política
Cristina Girardi,Cámara,2010,PPD,Centro-Izq,Antropologa
Carolina Goic,Cámara,2010,PDC,Centro,Trabajadora Social
María José Hoffmann,Cámara,2010,UDI,Derecha,Politologa
Marta Isasi,Cámara,2010,UDI,Derecha,Ingeniera
Andrea Molina,Cámara,2010,UDI,Derecha,Empresaria
Adriana Muñoz,Cámara,2010,PPD,Centro-izq,Sociologa
Claudia Nogueira,Cámara,2010,UDI,Derecha,Abogada
Clemira Pacheco,Cámara,2010,PS,Izquierda,Profesora
Denise Pascal,Cámara,2010,PS,Izquierda,Politologa
Karla Rubilar,Cámara,2010,RN,Derecha,Médico
María Antonieta Saa,Cámara,2010,PPD,Centro-izq,Profesora
Marcela Sabat,Cámara,2010,RN,Derecha,Política
Alejandra Sepulveda,Cámara,2010,PPD,Centro-izq,Veterinaria
Marisol Turres,Cámara,2010,UDI,Derecha,Abogada
Ximena Vidal,Cámara,2010,PPD,Centro-izq,Actriz
Mónica Zalaquett,Cámara,2010,UDI,Derecha,Comunicadora
Isabel Allende ,Senado,2010,PS,Izquierda,Socióloga 
Lily Pérez,Senado,2010,RN,Derecha,Publicista
Ximena Rincón ,Senado,2010,DC,Centro,Abogada
Evelyn Matthei,Senado,2010,UDI,Derecha,Economista 
Soledad Alvear ,Senado,2010,DC,Centro,Abogada 
Maya Fernandez,Cámara,2014,PS,Izquierda,Biologa marina
Cristina Girardi,Cámara,2014,PPD,Centro Izq,Antropoloha
Marcela Hernando,Cámara,2014,PRadical,Centro Izq,Médico
María José Hoffmann,Cámara,2014,UDI,Derecha,Politologa 
Andrea Molina,Cámara,2014,UDI,Derecha,Empresaria
Claudia Nogueira,Cámara,2014,UDI,Derecha,Abogada
Paulina Nuñez,Cámara,2014,RN,Derecha,Abogada
Clemira Pacheco,Cámara,2014,PS,Izquierda,Profesora
Denise Pascal,Cámara,2014,PS,Izquierda,Politologa
Yasna Provoste,Cámara,2014,PDC,Centro ,Profesora
Karla Rubilar,Cámara,2014,RN,Derecha,Médico
Marcela Sabat,Cámara,2014,RN,Derecha,Política
Alejandra Sepulveda,Cámara,2014,PPD,Centro Izq,Veterinaria
Marisol Turres,Cámara,2014,UDI,Derecha,Abogada
Camila Vallejo,Cámara,2014,PCCH,Extrema Izq,Geografa
Adriana Muñoz,Senado ,2014,PPD,Centro Izquierda ,Socióloga 
Jacqueline van Rysselberghe ,Senado ,2014,UDI,Derecha,Médica cirujana
Ena von Baer ,Senado ,2014,UDI ,Derecha,Política 
Caroloina Goic ,Senado ,2014,PDC,Centro,Trabajadora Social
Isabel Allende ,Senado,2014,PS,Izquierda,Socióloga 
Lily Pérez,Senado,2014,IND,Centro,Publicista
Ximena Rincón ,Senado,2014,PDC,Centro,Abogada
Sofía Cid,Cámara,2018,RN,Derecha,Ingeniera
Catalina del Real,Cámara,2018,RN,Derecha,Ingeniera
Maya Fernandez,Cámara,2018,PS,Izquierda,Biologa
Camila Flores,Cámara,2018,RN,Derecha,Abogada
Cristina Girardi,Cámara,2018,PPD,Centro Izq,Antropologa
Marcela Hernando,Cámara,2018,PRadical,Centro izq,Médico
Carmen Hertz,Cámara,2018,PCCH,Extrema Izq,Abogada
María José Hoffmann,Cámara,2018,UDI,Derecha,Politologa
Pamela Jiles,Cámara,2018,FA,Izquierda,Periodista
Aracely Leuquén,Cámara,2018,RN,Derecha,Asistente Social
Karin Luck,Cámara,2018,RN,Derecha,Relacionadora Pública
Carolina Marzán,Cámara,2018,PPD,Centro Izquierda,Actriz
Claudia Mix,Cámara,2018,FA,Izquierda,Política
Francesca Muñoz,Cámara,2018,RN,Derecha,Profesora
Paulina Nuñez,Cámara,2018,RN,Derecha,Abogada
Emilia Nuyado,Cámara,2018,PS,Izquierda,Auditora
Erika Olivera,Cámara,2018,RN,Derecha,Ex Atleta
Maite Orsini,Cámara,2018,FA,Izquierda,Abogada
Ximena Ossandón,Cámara,2018,RN,Derecha,Profesora
Andrea Parra,Cámara,2018,PPD,Centro Izquierda,Enfermera
Catalina Pérez,Cámara,2018,RD,Izquierda,Abogada
Joanna Pérez,Cámara,2018,PDC,Centro,Adm. Pública
Camila Rojas,Cámara,2018,FA,Izquierda,Adm. Pública
Patricia Rubio,Cámara,2018,PPD,Centro Izq,Educadora
Marcela Sabat,Cámara,2018,RN,Derecha,Política
Marcela Sandoval,Cámara,2018,RD,Izquierda,Periodista
Marisela Santibáñez,Cámara,2018,PTCH,Izquierda,Actriz
Alejandra Sepulveda,Cámara,2018,PPD,Centro izq,Veterinaria
Virginia Troncoso,Cámara,2018,UDI,Derecha,Política
Camila Vallejo,Cámara,2018,PCCH,Extrema Izq,Geografa
Gael Yeomans,Cámara,2018,FA,Izquierda,Abogada
Adriana Muñoz,Senado ,2018,PPD,Centro Izquierda ,Socióloga 
Jacqueline van Rysselberghe ,Senado ,2018,UDI,Derecha,Médica cirujana
Ena von Baer ,Senado ,2018,UDI ,Derecha,Política 
Caroloina Goic ,Senado ,2018,PDC,Centro,Trabajadora Social
Luz Ebensperger ,Senado ,2018,UDI ,Derecha,Abogada
Yasna Provoste ,Senado,2018,PDC,Centro,Profesora de Educación Física
Isabel Allende ,Senado,2018,PS,Izquierda,Socióloga 
Ximena Rincón ,Senado,2018,DC,Centro,Abogada
Carmen Aravena ,Senado ,2018,EVOP,Centro Derecha,Agrónoma
Ximena Ordenes ,Senado ,2018,PPD,Centro Izquierda ,Socióloga 
