Nombre,Cámara /Senado,Año en el que asume,Partido,Signo Político,Profesión
Denise Pascal,Cámara,2005,PS,Izquierda,Polítologa
Lily Pérez,Cámara,2005,RN,Derecha,Publicista
Karla Rubilar,Cámara,2005,RN,Derecha,Médico
María Antonieta Saa,Cámara,2005,PPD,Centro - Izquierda,Profesora
Alejandra Sepulveda,Cámara,2005,PPD,Centro - Izquierda,Veterinaria
Laura Soto,Cámara,2005,PPD,Centro - Izquierda,Política
Carolina Tohá,Cámara,2005,PPD,Centro - Izquierda,Politologa
Marisol Turres,Cámara,2005,UDI,Derecha,Abogada
Ximena Valcarce,Cámara,2005,RN,Derecha,Periodista
Ximena Vidal,Cámara,2005,PPD,Centro - Izquierda,Actriz
María Angélica Cristi,Cámara,2009,UDI,Derecha,Política
Cristina Girardi,Cámara,2009,PPD,Centro - Izquierda,Antropologa
Carolina Goic,Cámara,2009,PDC,Centro,Trabajadora Social
María José Hoffmann,Cámara,2009,UDI,Derecha,Politologa
Marta Isasi,Cámara,2009,UDI,Derecha,Ingeniera
Andrea Molina,Cámara,2009,UDI,Derecha,Empresaria
Adriana Muñoz,Cámara,2009,PPD,Centro - Izquierda,Sociologa
Claudia Nogueira,Cámara,2009,UDI,Derecha,Abogada
Clemira Pacheco,Cámara,2009,PS,Izquierda,Profesora
Denise Pascal,Cámara,2009,PS,Izquierda,Politologa
Karla Rubilar,Cámara,2009,RN,Derecha,Médico
María Antonieta Saa,Cámara,2009,PPD,Centro - Izquierda,Profesora
Marcela Sabat,Cámara,2009,RN,Derecha,Política
Alejandra Sepulveda,Cámara,2009,PPD,Centro - Izquierda,Veterinaria
Marisol Turres,Cámara,2009,UDI,Derecha,Abogada
Ximena Vidal,Cámara,2009,PPD,Centro - Izquierda,Actriz
Mónica Zalaquett,Cámara,2009,UDI,Derecha,Comunicadora
Maya Fernandez,Cámara,2013,PS,Izquierda,Biologa marina
Cristina Girardi,Cámara,2013,PPD,Centro - Izquierda,Antropologa
María José Hoffmann,Cámara,2013,UDI,Derecha,Politologa
Andrea Molina,Cámara,2013,UDI,Derecha,Empresaria
Claudia Nogueira,Cámara,2013,UDI,Derecha,Abogada
Paulina Nuñez,Cámara,2013,RN,Derecha,Abogada
Clemira Pacheco,Cámara,2013,PS,Izquierda,Profesora
Denise Pascal,Cámara,2013,PS,Izquierda,Politologa
Yasna Provoste,Cámara,2013,PDC,Centro,Profesora
Karla Rubilar,Cámara,2013,RN,Derecha,Médico
Marcela Sabat,Cámara,2013,RN,Derecha,Política
Alejandra Sepulveda,Cámara,2013,PPD,Centro - Izquierda,Veterinaria
Marisol Turres,Cámara,2013,UDI,Derecha,Abogada
Camila Vallejo,Cámara,2013,PCCH,Extrema - Izquierda,Geografa
Daniella Cicardini,Cámara,2013,PS,Izquierda,Bióloga 
Adriana Muñoz,Cámara,2013,PDC,Centro,
Karol Cariola,Cámara,2013,PCCH,Extrema - Izquierda,Matrona
Loreto Carvajal,Cámara,2013,PDC,Centro,
Jenny Álvarez,Cámara,2013,PS,Izquierda,
Sofía Cid,Cámara,2017,RN,Derecha,Ingeniera
Catalina del Real,Cámara,2017,RN,Derecha,Ingeniera
